ratemyprof_id,first_name,last_name,num_of_ratings,overall_rating,tDept
2204693,Fernando,Abad,3,5.0,Languages
421301,June,Abbas,9,4.8,Library Science
1492422,J B,Abbott,6,2.8,English
2064167,Mohamed,Abdelhamid,6,4.3,Business
2390630,Ahmed,Abdelrahman,6,3.5,Communicative Disorders
2751931,Raed,Abdullah,7,1.9,Mathematics
1472929,Jaison,Abel,19,3.9,Economics
2770568,Sally,Abell,0,0,Economics
2673768,Asela,Abeya,0,0,Mathematics
921605,Rachel,Ablow,9,2.9,English
1967285,Samuel,Abramovich,7,3.5,Education
2025182,Tesfaye,Abtew,7,2.3,Physics
885935,Melanie,Aceto,2,4.5,Theater
2252149,Keshab,Acharya,21,3.7,Engineering
1784329,Bruce,Acker,2,3.0,Asian American Studies
93346,Jane,Adam,68,3.3,English
1993984,Josephine,Adamo,1,3.5,Psychology
2508713,Tyler,Adamthwaite,1,4.0,Music
2002333,Elizabeth,Adelman,0,0,Law
2002333,Elizabeth,Adelman,0,0,Law
508476,Marc,Adler,18,4.8,Marketing
1695054,Susan,Adrian,0,0,Nursing
551809,Diana,Aga,22,3.5,Chemistry
2045393,Kafuli,Agbemenu,15,2.3,Nursing
698383,Vladimir,Ageyev,11,4.6,Education
2536720,Pasha,Agoes,3,2.3,Asian American Studies
1514436,Christina,Agostinelli-Fucile,7,3.3,Languages
17348,Shahid,Ahmad,398,3.8,Engineering
1142869,Saleem,Ahmed,16,3.2,Mathematics
1572389,Il-Sang,Ahn,0,0,Engineering
1648632,Tanja,Aho,5,4.0,Transnational Studies
1253488,Khalid,Ahsan,48,2.7,Chemistry
2718681,Nirupam,Aich,1,5.0,Engineering
1214184,Jessica,Akey,2,4.8,Communication
2624155,Nasrin,Akhter,14,2.7,computer science and electrical engineering
2629045,Alexy,Akimov,1,1.0,Chemistry
2629045,Alexy,Akimov,1,1.0,Chemistry
1280404,Ram,Alagan,1,4.0,Women's Studies
1849342,Eduardo,Alberto,2,3.8,Chemistry
1661130,Alison,Albright,1,4.5,American Studies
1806546,Christina,Alcus,4,5.0,Economics
1054964,Joseph,Aldinger,17,4.0,English
912948,Jared,Aldstadt,19,3.8,Geography
611936,Paschalis,Alexandridis,10,3.0,Engineering
1786739,David,Alff,5,4.1,English
942212,Tariq,Ali,6,4.0,Physics
942212,Tariq,Ali,6,4.0,Physics
549844,Joseph,Allen,5,4.5,Social Science
549844,Joseph,Allen,5,4.5,Social Science
549844,Joseph,Allen,5,4.5,Social Science
549844,Joseph,Allen,5,4.5,Social Science
549844,Joseph,Allen,5,4.5,Social Science
1492410,Maria,Almanza,6,4.6,American Studies
756257,Richard,Almon,46,3.2,Biology
968679,Maya,Aloni,9,4.7,Psychology
17342,Carl,Alphonce,269,3.4,Computer Science
2400892,Ali Mohammad,Alshehri,1,5.0,Languages
2708882,Louis,Altman,1,1.0,Social Science
914185,Jose,Alvergue,10,4.2,English
2518783,Katherine,Amato,12,4.1,Health Science
2518783,Katherine,Amato,12,4.1,Health Science
1350078,LC,Amo,2,5.0,Education
1350078,LC,Amo,2,5.0,Education
335861,Alex,Ampadu,64,3.8,Accounting
748104,Aubrey,Anable,0,0,Film
1564367,Gautam,Anand,34,4.9,Psychology
183575,Alex,Anas,79,2.4,Economics
1915922,Panagiotis,Anastasopoulos,5,4.2,Engineering
1915922,Panagiotis,Anastasopoulos,5,4.2,Engineering
2300412,Rudi,Andalora,1,5.0,Languages
1000807,Wayne,Anderson,1,5.0,Engineering
1000807,Wayne,Anderson,1,5.0,Engineering
1000807,Wayne,Anderson,1,5.0,Engineering
1000807,Wayne,Anderson,1,5.0,Engineering
1000807,Wayne,Anderson,1,5.0,Engineering
1000807,Wayne,Anderson,1,5.0,Engineering
1583092,Randall,Andreozzi,1,5.0,Not Specified
2271241,Kathryn,Andrews,0,0,Learning Center
2577210,Devin,Angevine,4,5.0,Chemistry
287420,Susan,Anner,31,3.8,Theater
517825,Josephine,Anstey,7,3.5,Film
1962817,Austin,Anuta-Darling,10,4.8,Mathematics
1745038,Charles,Anzalone,14,4.4,English
1564781,Georgios,Apostolakis,3,3.7,Engineering
2279874,David,Aragona,4,5.0,Communication
2652032,Madison,Archard,5,4.4,English
1065015,Jorge,Arditi,32,3.7,Sociology
1008053,Amjad,Aref,17,2.3,Engineering
1218202,Phil,Arena,13,3.3,Political Science
2110434,Stephanie,Argentine,2,4.5,Business
1899954,Juliette,Arico,1,5.0,Women's Studies
2513411,Gonca,Arikan,0,0,Anthropology
1477322,Jason,Armstrong,27,4.3,Engineering
1052684,Kevin,Arnold,5,4.3,English
1052684,Kevin,Arnold,5,4.3,English
1394480,P,Arora,0,0,Education
1080935,Laura,Arribas Tome,9,4.0,Languages
1784350,Yoshihiko,Asao,2,4.0,Linguistics
1931205,Christopher,Ashbaugh,4,3.4,Music
1657244,Arjang,Assad,0,0,Management
1142852,Agegnehu,Atena,5,3.6,Mathematics
1260176,Joseph,Atkinson,5,4.5,Engineering
1260176,Joseph,Atkinson,5,4.5,Engineering
1260176,Joseph,Atkinson,5,4.5,Engineering
1242487,James,Atleson,2,5.0,Law
75514,Jim,Atwood,112,4.3,Chemistry
2448817,Benjamin,Auerbach,2,5.0,Biology
2508844,John,Aulich,2,4.0,Music
555004,Bradley,Ault,25,4.6,Classics
1965879,Jennifer,Austin,7,5.0,Education
1436321,Tammy,Austin-Ketch,0,0,Nursing
803823,Jochen,Autschbach,11,2.2,Chemistry
1068804,Dianne,Avery,9,2.7,Law
1068804,Dianne,Avery,9,2.7,Law
1536513,Barbara,Avila-Shah,4,3.6,Romance Languages & Lit
797561,Kedarnath,Awati,8,4.0,Music
1781332,Mouhamed,Awayda,22,2.3,Medicine
907373,Irene,Ayad,49,2.0,Architecture
1659084,Meagan,Ayers,2,4.2,Classics
2464026,Brooke,Ayoub,0,0,Athletics
1479167,Sophia,Azeb,0,0,Not Specified
2300045,Katharina,Azim,14,4.2,Psychology
2601225,Alessandro,Baccarini,1,5.0,Computer Science & Engineering
832318,Ana,Bacigalupo,44,4.7,Anthropology
2451078,John,Bacon,1,5.0,Music
1816097,Rebecca,Badawy,2,4.8,Business
498722,Bernard,Badzioch,25,4.0,Mathematics
2072443,So Ra,Baek,4,2.0,Urban  Regional Planning
2072443,So Ra,Baek,4,2.0,Urban  Regional Planning
2421120,Amy,Baer,0,0,Art History
1108062,Sharmishtha,Bagchi-Sen,5,4.0,Geography
2384819,Daniel,Bagnall,10,4.2,Sociology
2460401,Yuting,Bai,2,4.5,Economics
1616670,Robert,Baier,4,4.9,Health Science
2131883,Michelle,Baird,1,1.5,Education
2131883,Michelle,Baird,1,1.5,Education
991271,Joan,Baizer,15,4.0,Medicine
170013,Gregory,Baker,24,4.6,Geology
2131553,Louanne,Bakk,3,4.5,Social Work
2776997,Alex,Bakke,0,0,Romance Languages & Lit
2344571,Katherine,Balantekin,4,4.8,Nutrition
2745591,Damalka,Balasuriya,0,0,Chemistry
1058195,Christian,Baldini,5,4.4,Music
798043,Prasad,Balkundi,22,2.3,Business
